id,Patent number,link,title,inventor name,date,num pages
3577,US-20230029218-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230029218,FEATURE ENGINEERING USING INTERACTIVE LEARNING BETWEEN STRUCTURED AND UNSTRUCTURED DATA,Bhamidipaty; Anuradha et al.,2023-01-26,21
3578,US-20230022673-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230022673,KNOWLEDGE DISCOVERY BASED ON INDIRECT INFERENCE OF ASSOCIATION,Derzsy; Noemi et al.,2023-01-26,46
3579,US-20230023597-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230023597,Adaptively Uploading Data Center Asset Data for Analysis,Shrestha; Saurav et al.,2023-01-26,24
3580,US-20230024813-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230024813,"METHOD, ELECTRONIC DEVICE, AND COMPUTER PROGRAM PRODUCT FOR IMAGE PROCESSING",Fernandez Orellana; Pedro et al.,2023-01-26,13
3581,US-20230025731-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230025731,REALISTIC COUNTERFACTUAL EXPLANATION OF MACHINE LEARNING PREDICTIONS,Vinov; Michael et al.,2023-01-26,11
3582,US-20230026917-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230026917,COMPLEX COMPUTING NETWORK FOR IMPROVING ESTABLISHMENT AND STREAMING OF AUDIO COMMUNICATION AMONG MOBILE COMPUTING DEVICES,FROLOVICHEV; Sergey et al.,2023-01-26,308
3583,US-20230026540-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230026540,Communicating with a Data Center Management and Monitoring Console via a Broker,Shrestha; Saurav et al.,2023-01-26,24
3584,US-20230027643-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230027643,OFFICER SAFETY USING COMPUTER VISION,"Dalley, JR.; Kenneth L. et al.",2023-01-26,25
3585,US-20230027897-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230027897,RAPID DEVELOPMENT OF USER INTENT AND ANALYTIC SPECIFICATION IN COMPLEX DATA SPACES,Yuen-Reed; Gigi Y. C. et al.,2023-01-26,24
3586,US-20230027322-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230027322,THERAPEUTIC MUSIC AND MEDIA PROCESSING SYSTEM,Schofman; David et al.,2023-01-26,28
3587,US-20230028408-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230028408,AUTOMATIC CHATBOT GENERATION THROUGH CAUSAL ANALYSIS OF HISTORICAL INCIDENTS,De; Radha Mohan et al.,2023-01-26,13
3588,US-20230028912-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230028912,Automatic Design Assessment and Smart Analysis,Steingrimsson; Baldur et al.,2023-01-26,156
3589,US-20230022194-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230022194,DISTINGUISHING REAL FROM VIRTUAL OBJECTS IN IMMERSIVE REALITY,Soryal; Joseph,2023-01-26,29
3590,US-20230024672-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230024672,"ENCRYPTION, SECURITY, AND VIDEO OPTIMIZATION",Bonutti; Peter M. et al.,2023-01-26,25
3591,US-20230024707-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230024707,SYSTEM AND METHOD FOR CLASSIFYING A USER TO APPLY FOR A MICROLOAN USING ML MODEL,Gupta; Arun Kumar et al.,2023-01-26,18
3592,US-20230024900-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230024900,SYSTEM AND METHOD FOR REAL-TIME DISTRIBUTED MICRO-GRID OPTIMIZATION USING PRICE SIGNALS,Ayoola; Folasade et al.,2023-01-26,45
3593,US-20230021336-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230021336,METHODS AND APPARATUS FOR PREDICTING AND PREVENTING AUTISTIC BEHAVIORS WITH LEARNING AND AI ALGORITHMS,Troxler; Isabelle Mordecai et al.,2023-01-26,33
3594,US-11559778-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11559778,De novo synthesized gene libraries,Banyai; William et al.,2023-01-24,221
3595,US-11562756-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562756,Apparatus and method for post-processing an audio signal using prediction based shaping,Disch; Sascha et al.,2023-01-24,78
3596,US-11560598-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11560598,Systems and methods for analyzing circulating tumor DNA,Lee; Wan-Ping et al.,2023-01-24,30
3597,US-11562181-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562181,Multi-domain convolutional neural network,Chen; Yen-Kuang et al.,2023-01-24,158
3598,US-11562304-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562304,Preventative diagnosis prediction and solution determination of future event using internet of things and artificial intelligence,Lu; Mingzhu,2023-01-24,31
3599,US-11562135-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562135,Constructing conclusive answers for autonomous agents,Galitsky; Boris,2023-01-24,55
3600,US-11562180-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562180,Characterizing failures of a machine learning model based on instance features,Nushi; Besmira et al.,2023-01-24,25
3601,US-11562029-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562029,Dynamic query processing and document retrieval,Freed; Andrew R. et al.,2023-01-24,25
3602,US-11564156-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11564156,Provision of data analytics in a telecommunication network,Estevez; David Gutierrez,2023-01-24,18
3603,US-11562232-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562232,Information processing apparatus and non-transitory computer readable medium,Tokuchi; Kengo,2023-01-24,23
3604,US-11561964-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11561964,Intelligent reading support,Botea; Adi et al.,2023-01-24,21
3605,US-11562818-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562818,System for extended reality visual contributions,Jackson; James et al.,2023-01-24,27
3606,US-11562121-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562121,AI driven content correction built on personas,Bikumala; Sathish Kumar et al.,2023-01-24,21
3607,US-11563706-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11563706,Generating context-aware rendering of media contents for assistant systems,Greenberg; Michael et al.,2023-01-24,60
3608,US-11563727-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11563727,Multi-factor authentication for non-internet applications,Kinai; Andrew et al.,2023-01-24,20
3609,US-11562139-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562139,Text data protection against automated analysis,Tran; Ngoc Minh et al.,2023-01-24,19
3610,US-11561667-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11561667,Semi-virtualized portable command center,Nugraha; Christian et al.,2023-01-24,19
3611,US-11562568-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562568,Dynamically creating a composition reference video to support a user activity,Whitman; Todd Russell et al.,2023-01-24,15
3612,US-11564266-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11564266,"Permission-based controlling network architectures and systems, having cellular network components and elements modified to host permission controlling schemas designed to facilitates electronic peer-to-peer communication sessions methods for use thereof",Kahn; Ari,2023-01-24,144
3613,US-11562329-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562329,Apparatus and methods for screening users,Stewart; Arran,2023-01-24,31
3614,US-11562744-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11562744,Stylizing text-to-speech (TTS) voice response for assistant systems,Gao; Yang et al.,2023-01-24,48
3615,US-11564003-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11564003,"Systems, apparatus, and methods to improve watermark detection in acoustic environments",Lynch; Wendell D. et al.,2023-01-24,53
3616,US-20230019198-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230019198,Detecting Adversarial Attacks through Decoy Training,Zhang; Jialong et al.,2023-01-19,18
3617,US-20230014599-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230014599,DATA PROCESSING METHOD AND APPARATUS FOR BLOCKCHAIN SYSTEM,LI; Maocai et al.,2023-01-19,18
3618,US-20230013371-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230013371,"DATA COMMUNICATION METHOD, APPARATUS, AND DEVICE, STORAGE MEDIUM, AND COMPUTER PROGRAM PRODUCT",LIU; Weian et al.,2023-01-19,35
3619,US-20230017557-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230017557,BLOOD-BASED ASSAY FOR DIAGNOSING AND TREATING BASED ON SITE-SPECIFIC TAU PHOSPHORYLATION,BATEMAN; RANDALL et al.,2023-01-19,137
3620,US-20230017302-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230017302,ELECTRONIC DEVICE AND OPERATING METHOD THEREOF,MIN; Kyoungbo et al.,2023-01-19,52
3621,US-20230014548-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230014548,PLATFORM FOR HYGIENE BEHAVIORAL MONITORING AND MODIFICATION,Podvent; Sean M. et al.,2023-01-19,102
3622,US-20230015206-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230015206,"METHODS, SYSTEMS, AND DEVICES FOR PROVIDING AUGMENTED REALITY CONTENT BASED ON USER ENGAGEMENT",Xu; Tan et al.,2023-01-19,26
3623,US-20230019494-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230019494,"DATA VERIFICATION METHOD AND APPARATUS, COMPUTER DEVICE, AND COMPUTER READABLE STORAGE MEDIUM",WANG; Dongyan et al.,2023-01-19,23
3624,US-20230015606-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230015606,"NAMED ENTITY RECOGNITION METHOD AND APPARATUS, DEVICE, AND STORAGE MEDIUM",LIU; Gang,2023-01-19,32
3625,US-20230020022-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230020022,"METHOD OF RECOGNIZING TEXT, DEVICE, STORAGE MEDIUM AND SMART DICTIONARY PEN",LIU; Shanshan et al.,2023-01-19,16
3626,US-20230016082-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230016082,TARGETED DATA ACQUISITION FOR MODEL TRAINING,Kabra; Namit et al.,2023-01-19,23
3627,US-20230021133-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230021133,ARTIFICIAL INTELLIGENCE (AI)-BASED MULTI-LEVEL PERSUASIVE REFERENCE FOR INDEPENDENT INSURANCE SALES AGENT,Wong; Wang-Chan et al.,2023-01-19,14
3628,US-20230017750-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230017750,EXHALED AIR PURIFICATION UNIT AND SYSTEM FOR INDOOR MULTI-PERSON VENUES OR ENVIRONMENTS,Blum; Ronald et al.,2023-01-19,57
3629,US-20230020324-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230020324,"Task Processing Method and Device, and Electronic Device",LIU; Chong et al.,2023-01-19,11
3630,US-20230017859-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230017859,"MEETING CONTROL METHOD AND APPARATUS, DEVICE, AND MEDIUM",LI; Yang,2023-01-19,27
3631,US-20230019607-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230019607,SYSTEMS AND METHODS FOR MOVING CONTENT BETWEEN VIRTUAL AND PHYSICAL DISPLAYS,Berliner; Tamir et al.,2023-01-19,171
3632,US-20230015714-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230015714,COMPUTER-BASED SYSTEM FOR EDUCATING A BABY AND METHODS OF USE THEREOF,Shvartzman; Yosef et al.,2023-01-19,91
3633,US-20230016021-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230016021,SYNTHETIC TOTAL AUDIENCE RATINGS,Frisardi; Chiara et al.,2023-01-19,61
3634,US-20230016776-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230016776,SYNTHETIC TOTAL AUDIENCE RATINGS,Frisardi; Chiara et al.,2023-01-19,61
3635,US-20230019110-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230019110,METHOD FOR CONTROLLING AMBIENT SOUND AND ELECTRONIC DEVICE FOR THE SAME,LEE; Chulmin,2023-01-19,44
3636,US-20230016157-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230016157,MAPPING APPLICATION OF MACHINE LEARNING MODELS TO ANSWER QUERIES ACCORDING TO SEMANTIC SPECIFICATION,Ferreira Moreno; Marcio et al.,2023-01-19,20
3637,US-20230015535-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230015535,DIGITAL PROJECT BASED COMPETITIVE BIDDING IN GOVERNMENT CONTRACTS,Smeltzer; Chad,2023-01-19,31
3638,US-20230015717-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230015717,"ANATOMICAL SCANNING, TARGETING, AND VISUALIZATION",WANG; Hao et al.,2023-01-19,76
3639,US-20230019862-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230019862,SYSTEMS AND METHODS PROVIDING MEDICAL PRIVILEGING AND DATA OVER DATA NETWORKS USING A DISTRIBUTED LEDGER,VINES; JENNIFER HARRELL,2023-01-19,24
3640,US-20230020455-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230020455,SYSTEM AND PROCESS FOR TEACHING SPEECH TO PEOPLE WITH HEARING AND/OR SPEECH DISABILITIES,Kaul; Sandra,2023-01-19,63
3641,US-20230012801-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230012801,Content Hiding Software Identification and/or Extraction System and Method,Dorai; Gokila et al.,2023-01-19,18
3642,US-20230016897-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230016897,NEURAL NETWORKS TO IDENTIFY SOURCE CODE,MANIVASAGAM; BALASUBRAMANIAN et al.,2023-01-19,20
3643,US-20230016946-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230016946,"SYSTEMS, APPARATUS, ARTICLES OF MANUFACTURE, AND METHODS FOR PROACTIVE DATA ROUTING",Wouhaybi; Rita et al.,2023-01-19,116
3644,US-20230017202-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230017202,COMPUTER VISION-BASED SURGICAL WORKFLOW RECOGNITION SYSTEM USING NATURAL LANGUAGE PROCESSING TECHNIQUES,Zhang; Bokai,2023-01-19,38
3645,US-20230017500-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230017500,TOKENIZED FEDERATED LEARNING,Anwar; Ali et al.,2023-01-19,23
3646,US-20230018103-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230018103,MULTI-DEVICE POWER MANAGEMENT,Agrawal; Tushar et al.,2023-01-19,18
3647,US-20230018271-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230018271,Lead Management System and Methods Thereof,Hsieh; Anthony Li et al.,2023-01-19,28
3648,US-20230013902-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230013902,System and Method for Correcting for Distortions of a Diagnostic Image,Ezhov; Matvey et al.,2023-01-19,41
3649,US-20230015310-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230015310,SIDELINK POSITIONING AND CHANNEL ACCESS FAILURE MANAGEMENT,WU; Shuanshuan et al.,2023-01-19,31
3650,US-20230015446-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230015446,"SYSTEMS AND METHODS FOR STORING, MANAGING, VERIFYING, AND ACCREDITING DIGITAL DATA",WHITE; Lauretta Zerelda,2023-01-19,36
3651,US-20230013320-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230013320,REMEDIATION SITE PORTFOLIO RISK SCORING,Eller; Jonathan et al.,2023-01-19,29
3652,US-20230018159-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230018159,AUTONOMOUS GENERATION OF GRC PROGRAMS,Barroso; Filipe Joao Afonso et al.,2023-01-19,21
3653,US-20230012699-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230012699,UNCERTAINTY AWARE PARAMETER PROVISION FOR A VARIATIONAL QUANTUM ALGORITHM,Pyzer-Knapp; Edward Oliver et al.,2023-01-19,28
3654,US-20230012895-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230012895,GEO JAVASCRIPT OBJECT NOTATION (JSON)-BASED ETHNIC CLASSIFIER AND SEARCH ENGINE FOR AN ONLINE SEARCH TOOL,Pham; David et al.,2023-01-19,13
3655,US-11554113-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11554113,Methods for treating disorders or diseases associated with hyperlipidemia and hypercholesterolemia while minimizing side-effects,Rader; Daniel J.,2023-01-17,23
3656,US-11554141-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11554141,Methods and compositions for immunomodulation,Mata-Fink; Jordi et al.,2023-01-17,157
3657,US-11556230-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556230,Data detection,Van Os; Marcel,2023-01-17,108
3658,US-11556623-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556623,Artificial intelligence apparatus and method for controlling authority to use external device based on user identification using image recognition,Kim; Bosang et al.,2023-01-17,21
3659,US-11557398-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11557398,Delivering a chemical compound based on a measure of trust dynamics,Kozloski; James R. et al.,2023-01-17,28
3660,US-11556390-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556390,Efficient high bandwidth shared memory architectures for parallel machine learning and AI processing of large data sets and streams,"Alvelda, VII; Phillip et al.",2023-01-17,14
3661,US-11556938-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556938,Managing regulatory compliance for an entity,Nair; Rahul et al.,2023-01-17,19
3662,US-11556810-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556810,Estimating feasibility and effort for a machine learning solution,Perera; Pathirage Dinindu Sujan Udayanga et al.,2023-01-17,18
3663,US-11556758-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556758,Learning approximate translations of unfamiliar measurement units during deep question answering system training and usage,Katz; Edward G. et al.,2023-01-17,22
3664,US-11556698-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556698,Augmenting textual explanations with complete discourse trees,Galitsky; Boris,2023-01-17,27
3665,US-11557096-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11557096,Cognitive stimulation in vehicles,Huet; Miranda et al.,2023-01-17,54
3666,US-11557284-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11557284,Cognitive analysis for speech recognition using multi-language vector representations,Yuan; Zhong Fang et al.,2023-01-17,18
3667,US-11557276-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11557276,Ontology integration for document summarization,Bender; Walter et al.,2023-01-17,85
3668,US-11556816-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556816,Conditional parallel coordinates in automated artificial intelligence with constraints,Weidele; Daniel Karl I. et al.,2023-01-17,32
3669,US-11558805-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11558805,Method and apparatus for managing cag related procedure in wireless communication network,Tiwari; Kundan et al.,2023-01-17,23
3670,US-11558928-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11558928,Proactive content placement for low latency mobile access,Sharma; Deva-Datta et al.,2023-01-17,23
3671,US-11556385-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556385,Cognitive processing resource allocation,Gan; Seng Chai et al.,2023-01-17,17
3672,US-11557094-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11557094,Efficient capture and delivery of walkable and interactive virtual reality or 360 degree video,Goetgeluk; Jan et al.,2023-01-17,18
3673,US-11558335-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11558335,Generative notification management mechanism via risk score computation,Brooks Powell; Natalie et al.,2023-01-17,16
3674,US-11556558-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556558,Insight expansion in smart data retention systems,Kabra; Namit et al.,2023-01-17,16
3675,US-11556836-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556836,System and method for matching specialists and potential clients,Bao; Xinli et al.,2023-01-17,33
3676,US-11556238-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556238,Implementation of architecture document via infrastructure as code,Kairali; Sudheesh S. et al.,2023-01-17,25
3677,US-11556510-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556510,System and method for enriching and normalizing data,Hanson; Niels et al.,2023-01-17,26
3678,US-11556335-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11556335,Annotating program code,Kwatra; Shikhar et al.,2023-01-17,14
3679,US-11557323-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11557323,Apparatuses and methods for selectively inserting text into a video resume,Stewart; Arran,2023-01-17,25
3680,US-11558213-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11558213,Deep tagging artifact review session,McHugh; Manus Kevin et al.,2023-01-17,25
3681,US-11558440-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11558440,Simulate live video presentation in a recorded video,Tadesse; Girmaw Abebe et al.,2023-01-17,17
3682,US-11558471-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11558471,Multimedia content differentiation,Swift; Mary Diane et al.,2023-01-17,22
3683,US-20230008199-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230008199,"Remote Assistance Method and System, and Electronic Device",Yu; Dongyang et al.,2023-01-12,25
3684,US-20230010447-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230010447,METHOD AND APPARATUS FOR SELECTING A TARGET EDGE APPLICATION SERVER IN AN EDGE COMPUTING ENVIRONMENT,GUPTA; Nishant et al.,2023-01-12,20
3685,US-20230010031-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230010031,"METHOD FOR RECOGNIZING TEXT, ELECTRONIC DEVICE AND STORAGE MEDIUM",LYU; Pengyuan et al.,2023-01-12,20
3686,US-20230009893-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230009893,Training a Question-Answer Dialog System to Avoid Adversarial Attacks,Rosenthal; Sara et al.,2023-01-12,26
3687,US-20230011822-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230011822,SYSTEM AND METHOD FOR SOCIAL IMMERSIVE CONTENT RENDERING,Xu; Tan et al.,2023-01-12,23
3688,US-20230010796-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230010796,VIRTUAL DISPLAY CHANGES BASED ON POSITIONS OF VIEWERS,BERLINER; Tamir et al.,2023-01-12,171
3689,US-20230011318-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230011318,SIDELINK CANCELLATION INDICATION,WANG; Xiaojie et al.,2023-01-12,69
3690,US-20230011514-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230011514,SIDELINK PRIORITIZATION,WANG; Xiaojie et al.,2023-01-12,68
3691,US-20230011471-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230011471,SIDELINK CONTROL INFORMATION (SCI)-TRIGGERED SIDELINK POSITIONING,SARKIS; Gabi et al.,2023-01-12,32
3692,US-20230010688-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230010688,SIDELINK CANCELLATION WITH RESUMPTION,WANG; Xiaojie et al.,2023-01-12,69
3693,US-20230009454-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230009454,DIGITAL CHARACTER WITH DYNAMIC INTERACTIVE BEHAVIOR,Paciello; Keith,2023-01-12,42
3694,US-20230009237-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230009237,MULTI-DIMENSIONAL DATA LABELING,Desmond; Michael et al.,2023-01-12,24
3695,US-20230010225-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230010225,SYNTHETIC TOTAL AUDIENCE RATINGS,Frisardi; Chiara et al.,2023-01-12,60
3696,US-20230010587-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230010587,SYNTHETIC TOTAL AUDIENCE RATINGS,Frisardi; Chiara et al.,2023-01-12,61
3697,US-20230010230-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230010230,AUXILIARY MIDDLE FRAME PREDICTION LOSS FOR ROBUST VIDEO ACTION SEGMENTATION,Rhodes; Anthony et al.,2023-01-12,21
3698,US-20230012202-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230012202,GRAPH COMPUTING OVER MICRO-LEVEL AND MACRO-LEVEL VIEWS,Wu; Ci-Hao et al.,2023-01-12,27
3699,US-20230007969-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230007969,CANCELLATION OF SIDELINK AUTOMATIC GAIN CONTROL SYMBOL,WANG; Xiaojie et al.,2023-01-12,54
3700,US-11547710-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11547710,Pharmaceutical composition comprising eicosapentaenoic acid and derivatives thereof and a statin,Grandolfi; George,2023-01-10,55
3701,US-11547136-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11547136,Methods and products to provide oral nutritional care to subjects with dementia,Gillespie; John,2023-01-10,21
3702,US-11548633-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11548633,High endurance unmanned aerial vehicle,Ratti; Jayant,2023-01-10,28
3703,US-11550939-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11550939,Nucleic acid based data storage using enzymatic bioencryption,Peck; Bill James et al.,2023-01-10,82
3704,US-11551570-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11551570,Systems and methods for assessing and improving student competencies,Crosta; Lucilla et al.,2023-01-10,29
3705,US-11551188-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11551188,Systems and methods for improved automated conversations with attendant actions,Jonnalagadda; Siddhartha Reddy et al.,2023-01-10,45
3706,US-11551795-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11551795,AI-based multi-label heat map generating system and methods for use therewith,Yao; Li et al.,2023-01-10,85
3707,US-11547345-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11547345,Dynamic neuropsychological assessment tool,Vignisson; Vidar et al.,2023-01-10,16
3708,US-11551437-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11551437,Collaborative information extraction,Lourentzou; Ismini et al.,2023-01-10,21
3709,US-11551123-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11551123,Automatic visualization and explanation of feature learning output from a relational database for predictive modelling,Buesser; Beat et al.,2023-01-10,21
3710,US-11551006-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11551006,Removal of personality signatures,Beller; Charles E. et al.,2023-01-10,24
3711,US-11552940-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11552940,System and method for continuous authentication of user entity identity using context and behavior for real-time modeling and anomaly detection,Shahidzadeh; Shahrokh et al.,2023-01-10,27
