search URL:,https://patents.google.com/?q=%28%22educational+data+mining%22+OR+%22learning+analytics%22%29+AND+%28%22artificial+intelligence%22+OR+AI+OR+ML+OR+DL+OR+NLP%29&oq=%28%22educational+data+mining%22+OR+%22learning+analytics%22%29+AND+%28%22artificial+intelligence%22+OR+AI+OR+ML+OR+DL+OR+NLP%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9978013-B2,Systems and methods for recognizing objects in radar imagery ,"Deep Learning Analytics, LLC",John Patrick Kaufhold,2014-07-16,2015-07-08,2018-05-22,2018-05-22,https://patents.google.com/patent/US9978013B2/en,https://patentimages.storage.googleapis.com/b8/ea/79/6be112f5749e87/US09978013-20180522-D00000.png
US-2022238033-A1,Integrated Student-Growth Platform ,"Renaissance Learning, Inc.","Mark Angel, Robert Zieroth, Pete Jungwirth, Eric Stickney, Diana Blythe, Gena Kukartsev",2016-04-10,2022-02-14,2022-07-28,,https://patents.google.com/patent/US20220238033A1/en,https://patentimages.storage.googleapis.com/79/3e/59/3c89a7267fa06f/US20220238033A1-20220728-D00000.png
US-2023326323-A1,"Systems, Methods, and Devices for Automatic Signal Detection based on Power Distribution by Frequency over Time ","Digital Global Systems, Inc.",David William Kleinbeck,2018-08-24,2023-06-09,2023-10-12,,https://patents.google.com/patent/US20230326323A1/en,https://patentimages.storage.googleapis.com/7e/82/3e/a977ddd0721101/US20230326323A1-20231012-D00000.png
US-10275851-B1,Checkpointing for GPU-as-a-service in cloud computing environment ,EMC IP Holding Company LLC,"Junping ZHAO, Layne Peng, Jie Bao, Kun Wang, Yifan Sun",2017-04-25,2017-04-25,2019-04-30,2019-04-30,https://patents.google.com/patent/US10275851B1/en,https://patentimages.storage.googleapis.com/8c/73/56/401b38710a2e2e/US10275851-20190430-D00000.png
US-2021255799-A1,Optimization of power usage of data storage devices ,"Micron Technology, Inc.","Poorna Kale, Robert Richard Noel Bielby",2020-02-14,2020-02-14,2021-08-19,,https://patents.google.com/patent/US20210255799A1/en,https://patentimages.storage.googleapis.com/a5/a3/01/8690d52a45382f/US20210255799A1-20210819-D00000.png
US-11218445-B2,System and method for implementing a web application firewall as a customized service ,Dell Products L.P.,"Mark D. Owens, Frank DiRosa, Rene Herrero, Yongliang Li, Everton Schäfer",2019-07-29,2019-07-29,2022-01-04,2022-01-04,https://patents.google.com/patent/US11218445B2/en,https://patentimages.storage.googleapis.com/d6/20/54/d41ec33f158d6a/US11218445-20220104-D00000.png
US-10430725-B2,Petroleum analytics learning machine system with machine learning analytics applications for upstream and midstream oil and gas industry ,Akw Analytics Inc.,"Roger N. Anderson, Boyi Xie, Leon L. Wu, Arthur Kressner",2016-06-15,2017-01-18,2019-10-01,2019-10-01,https://patents.google.com/patent/US10430725B2/en,https://patentimages.storage.googleapis.com/68/0a/a9/f8ddf73a353e05/US10430725-20191001-D00000.png
EP-3637730-B1,Method and system for distributed operation between cloud and edge in iot computing environment ,Korea Electronics Technology Institute,"Jae Won Moon, Seung Woo Kum, Young Kee Kim, Sang Yeon Cho",2018-10-10,2018-11-07,2021-01-06,2021-01-06,https://patents.google.com/patent/EP3637730B1/en,https://patentimages.storage.googleapis.com/41/ce/d2/08751db03491e9/imgf0001.png
US-11863429-B2,Network path selection ,"Cisco Technology, Inc.",Sandeep Bajaj,2017-06-20,2023-03-06,2024-01-02,2024-01-02,https://patents.google.com/patent/US11863429B2/en,https://patentimages.storage.googleapis.com/b6/fc/01/bb78de501540ab/US11863429-20240102-D00000.png
US-2018309787-A1,Deploying deception campaigns using communication breadcrumbs ,"Cymmetria, Inc.","Gadi Evron, Dean Sysman, Imri Goldberg, Shmuel Ur, Itamar Sher",2016-07-31,2017-07-31,2018-10-25,,https://patents.google.com/patent/US20180309787A1/en,https://patentimages.storage.googleapis.com/00/9e/25/b17489e8e401eb/US20180309787A1-20181025-D00000.png
EP-3662621-B1,Path selection for an application based on a performance score in a software-defined network ,"Cisco Technology, Inc.",Sandeep Bajaj,2017-07-31,2018-07-27,2022-10-19,2022-10-19,https://patents.google.com/patent/EP3662621B1/en,https://patentimages.storage.googleapis.com/25/3a/78/fc9f638e9014f1/imgf0001.png
US-9995278-B2,Digital twin interface for operating wind farms ,General Electric Company,"Arnold M. Lund, Karl Mochel, Jeng-Weei Lin, Raimundo Onetto, Jayanthi Srinivasan, Peter Gregg, Jeffrey Eric Bergman, Kenneth D. Hartling, JR., Anwar Ahmed, Sham Chotai",2015-05-15,2015-12-10,2018-06-12,2018-06-12,https://patents.google.com/patent/US9995278B2/en,https://patentimages.storage.googleapis.com/c1/9f/28/138011c4bfbc32/US09995278-20180612-D00000.png
US-10132295-B2,Digital system and method for managing a wind farm having plurality of wind turbines coupled to power grid ,General Electric Company,"Arnold M. Lund, Karl Mochel, Jeng-Weei Lin, Raimundo Onetto, Jayanthi Srinivasan, Peter Gregg, Jeffrey Eric Bergman, Kenneth D. Hartling, Anwar Ahmed, Sham Chotai",2015-05-15,2016-03-21,2018-11-20,2018-11-20,https://patents.google.com/patent/US10132295B2/en,https://patentimages.storage.googleapis.com/46/dc/c9/92dee81e1e94e6/US10132295-20181120-D00000.png
EP-3225046-B1,Method and apparatus for determining cell states to adjust antenna configuration parameters ,"Huawei Technologies Co., Ltd.","Nandu Gopalakrishnan, Yanjie Fu, Yan Xin, James Mathew",2014-12-17,2015-12-17,2019-11-13,2019-11-13,https://patents.google.com/patent/EP3225046B1/en,https://patentimages.storage.googleapis.com/7b/d6/cc/834c96c12cfa56/imgf0001.png
US-10879734-B2,Arrangement in a system for electrical power production ,Conjoule GmbH,Jürgen Waffner,2016-09-14,2019-03-14,2020-12-29,2020-12-29,https://patents.google.com/patent/US10879734B2/en,https://patentimages.storage.googleapis.com/99/83/62/4c54ba279b6ac4/US10879734-20201229-D00000.png
US-10657686-B2,Gragnostics rendering ,"Two Six Labs, LLC","Robert P. Gove, JR.",2018-03-26,2018-03-26,2020-05-19,2020-05-19,https://patents.google.com/patent/US10657686B2/en,https://patentimages.storage.googleapis.com/0c/d2/a7/e48fa084e2689c/US10657686-20200519-D00000.png
US-11366470-B2,Self-balancing autonomous vehicle fleet ,"Ford Global Technologies, Llc","Smruti PANIGRAHI, Justin Miller, Sanghyun Hong, Jianbo Lu",2019-09-30,2019-09-30,2022-06-21,2022-06-21,https://patents.google.com/patent/US11366470B2/en,https://patentimages.storage.googleapis.com/bc/f8/f9/8979637fb13bbd/US11366470-20220621-D00000.png
US-10733515-B1,Imputing missing values in machine learning models ,"Amazon Technologies, Inc.","Pragyana K. Mishra, Naveen Sudhakaran Nair",2017-02-21,2017-02-21,2020-08-04,2020-08-04,https://patents.google.com/patent/US10733515B1/en,https://patentimages.storage.googleapis.com/8a/d5/34/d8c5fca8656916/US10733515-20200804-D00000.png
CN-108376132-B,Method and system for judging similar test questions ,中国科学技术大学,"陈恩红, 刘淇, 黄仔, 黄振亚",2018-03-16,2018-03-16,2020-08-28,2020-08-28,https://patents.google.com/patent/CN108376132B/en,https://patentimages.storage.googleapis.com/ab/80/02/4cc5c5479e5966/HDA0002510625450000011.png
WO-2024023839-A1,A system for estimating a deficit in knowledge required and method thereof ,Metagogy Learning Systems Pvt Ltd,Praveen Shankar JAMBHOLKAR,2022-07-25,2023-07-25,2024-02-01,,https://patents.google.com/patent/WO2024023839A1/en,
CN-116451171-A,College student portrait generation method based on self-adaptive feature intersection ,南开大学,"张海威, 李文茹, 白淇介, 潘璇, 袁晓洁",2023-03-10,2023-03-10,2023-07-18,,https://patents.google.com/patent/CN116451171A/en,
CN-116993004-A,Teaching evaluation method and device based on double-layer index system ,上海师范大学,"王龚, 刘依依",2023-07-04,2023-07-04,2023-11-03,,https://patents.google.com/patent/CN116993004A/en,
WO-2017152187-A1,Student data-to-insight-to-action-to-learning analytics system and method ,"Civitas Learning, Inc.","David H. Kil, Kyle DERR, Mark WHITFIELD, Grace EADS, John M. DALY, Clayton Gallaway, Jorgen Harmse, Daya Chinthana WIMALASURIYA",2016-03-04,2017-03-06,2017-09-08,,https://patents.google.com/patent/WO2017152187A1/en,
US-2018315330-A1,Learning event management system ,edX Inc.,Piotr F. Mitros,2017-04-28,2018-04-30,2018-11-01,,https://patents.google.com/patent/US20180315330A1/en,https://patentimages.storage.googleapis.com/f4/9c/78/e81e08e6ca8c47/US20180315330A1-20181101-D00000.png
US-2018349446-A1,Interactive system employing machine learning and artificial intelligence to customize user interfaces ,Bank Of America Corporation,"Cory Triolo, Steven Lucas, Patrick W. Higgins, Jeffrey J. Dansereau",2017-06-01,2017-06-01,2018-12-06,,https://patents.google.com/patent/US20180349446A1/en,https://patentimages.storage.googleapis.com/4c/34/cd/a204d95b421ffe/US20180349446A1-20181206-D00000.png
US-11709481-B2,Contextualization of industrial data at the device level ,"Rockwell Automation Technologies, Inc.","Bijan Sayyarrodsari, Michael Pantaleano, Ka H Lin, Juergen K Weinhofer, Andrew J Ellis, Kyle Crum, Sujeet Chand, David Vasko, Subbian Govindaraj",2019-09-30,2022-08-25,2023-07-25,2023-07-25,https://patents.google.com/patent/US11709481B2/en,https://patentimages.storage.googleapis.com/e7/1d/40/8bf6258f78e105/US11709481-20230725-D00000.png
US-11832110-B2,"System, method, and apparatus for providing dynamic, prioritized spectrum management and utilization ","Digital Global Systems, Inc.","Armando Montalvo, Edward Hummel, Dwight Inman",2020-05-01,2023-04-21,2023-11-28,2023-11-28,https://patents.google.com/patent/US11832110B2/en,https://patentimages.storage.googleapis.com/29/48/2c/8a801b482f9499/US11832110-20231128-D00000.png
US-10979498-B2,"System, method and device for provision and management of web resource ",Voxp Pte. Ltd.,"Dennis Beltran MENDIOLA, Patrick Gil Gorres Cagalawan",2018-02-05,2019-02-04,2021-04-13,2021-04-13,https://patents.google.com/patent/US10979498B2/en,https://patentimages.storage.googleapis.com/1c/cf/02/a73d1681f7f71f/US10979498-20210413-D00000.png
US-2018300793-A1,Augmenting sustainable procurement data with artificial intelligence ,"Workpology, Inc.","Angela Chen, James Henry Tull",2017-04-12,2018-04-11,2018-10-18,,https://patents.google.com/patent/US20180300793A1/en,https://patentimages.storage.googleapis.com/8f/8a/45/bd0a493af3e2c9/US20180300793A1-20181018-D00000.png
US-11382176-B2,Public safety analytics gateway ,At&T Mobility Ii Llc,Thomas J. Routt,2017-05-19,2020-10-06,2022-07-05,2022-07-05,https://patents.google.com/patent/US11382176B2/en,https://patentimages.storage.googleapis.com/d8/39/a6/17a3a4090dc0a4/US11382176-20220705-D00000.png
US-11096059-B1,"System and method for secure touchless authentication of user paired device, behavior and identity ",Acceptto Corporation,Shahrokh Shahidzadeh,2019-08-04,2021-01-01,2021-08-17,2021-08-17,https://patents.google.com/patent/US11096059B1/en,https://patentimages.storage.googleapis.com/5b/9e/7a/e14806649377a3/US11096059-20210817-D00000.png
US-2015081725-A1,System and method for actively obtaining social data ,Marketwire L.P.,"Stuart Ogawa, Edward Dong-Jin KIM, Brian Jia-Lee KENG, Kanchana PADMANABHAN",2013-09-19,2014-07-03,2015-03-19,,https://patents.google.com/patent/US20150081725A1/en,https://patentimages.storage.googleapis.com/20/e5/9c/46df884be12949/US20150081725A1-20150319-D00000.png
US-10311376-B2,System and method for creating biologically based enterprise data genome to predict and recommend enterprise performance ,Quantiply Corporation,"Surendra Reddy, Vamsi Koduru",2015-06-20,2016-06-20,2019-06-04,2019-06-04,https://patents.google.com/patent/US10311376B2/en,https://patentimages.storage.googleapis.com/5a/c9/71/0bea71518264f3/US10311376-20190604-D00000.png
US-2014120516-A1,"Methods and Systems for Creating, Delivering, Using, and Leveraging Integrated Teaching and Learning ","Edwiser, Inc.","Mung Chiang, Sangtae Ha, Stefan Rudiger Rill, Christopher G. Brinton, William Ju",2012-10-26,2013-10-25,2014-05-01,,https://patents.google.com/patent/US20140120516A1/en,https://patentimages.storage.googleapis.com/69/6d/69/8c3b611f9880f0/US20140120516A1-20140501-D00000.png
US-11797877-B2,Automated self-healing of a computing process ,Accenture Global Solutions Limited,"Sunil Sharma, Rajendra Venkata Palem, Amit Agarwal",2017-08-24,2017-10-10,2023-10-24,2023-10-24,https://patents.google.com/patent/US11797877B2/en,https://patentimages.storage.googleapis.com/02/df/b0/44f66f635f3f4b/US11797877-20231024-D00000.png
KR-20210072824-A,Systems and methods for vehicle data management ,에반겔로스 시모우디스,에반겔로스 시모우디스,2018-11-08,2019-11-06,2021-06-17,,https://patents.google.com/patent/KR20210072824A/en,https://patentimages.storage.googleapis.com/d9/1e/48/191dccd1e6bd06/pct00007.png
US-11646018-B2,Detection of calls from voice assistants ,"Pindrop Security, Inc.","Vinay MADDALI, David Looney, Kailash PATIL",2019-03-25,2020-03-25,2023-05-09,2023-05-09,https://patents.google.com/patent/US11646018B2/en,https://patentimages.storage.googleapis.com/73/e6/30/2e276f14cd7eb0/US11646018-20230509-D00000.png
US-11902794-B2,"System, method, and apparatus for providing dynamic, prioritized spectrum management and utilization ","Digital Global Systems, Inc.",Armando Montalvo,2020-05-01,2023-09-26,2024-02-13,2024-02-13,https://patents.google.com/patent/US11902794B2/en,https://patentimages.storage.googleapis.com/c3/05/1a/e48ae5cc288c7d/US11902794-20240213-D00000.png
US-10069891-B2,Channel accessible single function micro service data collection process for light analytics ,Bank Of America Corporation,"Assim Syed Mohammad, Badri V. Mangalam, Prasanna Joshi, Sridhar M. Seetharaman",2015-09-30,2015-09-30,2018-09-04,2018-09-04,https://patents.google.com/patent/US10069891B2/en,https://patentimages.storage.googleapis.com/65/ea/ff/1f28832e5b34e3/US10069891-20180904-D00000.png
US-2015279426-A1,Learning Environment Systems and Methods ,"AltSchool, PBC","Slade Maurer, Jay Ho, Michael Kim, Jeremy Shute",2014-03-26,2015-03-25,2015-10-01,,https://patents.google.com/patent/US20150279426A1/en,https://patentimages.storage.googleapis.com/1f/d4/d6/d38c1547af67cd/US20150279426A1-20151001-D00000.png
US-11776080-B2,Automatically generating a personalized course profile ,"Pearson Education, Inc.",Christoph Grau,2016-11-09,2017-10-13,2023-10-03,2023-10-03,https://patents.google.com/patent/US11776080B2/en,https://patentimages.storage.googleapis.com/28/72/5f/0a68075eb90bbf/US11776080-20231003-D00000.png
US-10359741-B2,Switch terminal system with spatial relationship information ,"Edison Labs, Inc.",Colin Billings,2016-11-02,2018-03-17,2019-07-23,2019-07-23,https://patents.google.com/patent/US10359741B2/en,https://patentimages.storage.googleapis.com/a2/7d/4d/8c847cca6b578a/US10359741-20190723-D00000.png
EP-3571992-A1,Mitigating effects of neuro-muscular ailments ,INTEL Corporation,"Yuri KRIMON, Shirisha Middela, Katalin BARTFAI-WALCOTT, Ingrid Murphy, Vamsee Vardhan Chivukula, Michael Imhoff, Olugbemisola Oniyinde",2018-05-23,2019-04-19,2019-11-27,,https://patents.google.com/patent/EP3571992A1/en,https://patentimages.storage.googleapis.com/39/ea/58/9fd52dea7227fb/imgf0001.png
US-2021326457-A1,System and method for generating privacy data containment and reporting ,"Paypal, Inc.","Amir Hossein YOUSSEFI, Ravi Retineni, Alejandro Picos, Gaoyuan WANG, Li Cao, Deepa Madhavan, Srinivasabharathi Selvaraj",2018-05-11,2021-07-01,2021-10-21,,https://patents.google.com/patent/US20210326457A1/en,https://patentimages.storage.googleapis.com/fe/b6/00/a4f818b01b476d/US20210326457A1-20211021-D00000.png
US-2023114019-A1,"Method and apparatus for the semi-autonomous management, analysis and distribution of intellectual property assets between various entities ",Nicole Ann Shanahan,Nicole Ann Shanahan,2017-04-07,2022-09-19,2023-04-13,,https://patents.google.com/patent/US20230114019A1/en,https://patentimages.storage.googleapis.com/2a/71/dc/fa5b2b42abb9e6/US20230114019A1-20230413-D00000.png
US-10756976-B2,Data network and execution environment replication for network automation and network applications ,Ciena Corporation,"Robert Kevin TOMKINS, Romualdas ARMOLAVICIUS",2018-08-21,2018-08-21,2020-08-25,2020-08-25,https://patents.google.com/patent/US10756976B2/en,https://patentimages.storage.googleapis.com/7b/17/27/7bbd7a7d795041/US10756976-20200825-D00000.png
EP-3542516-B1,Method for operating at least one additive manufacturing apparatus ,Innogy Innovation GmbH,Dr. Carsten STÖCKER,2016-11-17,2016-11-17,2020-09-02,2020-09-02,https://patents.google.com/patent/EP3542516B1/en,https://patentimages.storage.googleapis.com/d8/b5/54/e3448d3e19dd3d/imgf0001.png
US-11323927-B2,Automated observational passive intermodulation (PIM) interference detection in cellular networks ,Telefonaktiebolaget Lm Ericsson (Publ),"Mark Diggins, Adrian Scaringi, Radek Wrzesinski, Matthew Barker, Conor Kelly, Danielle Marie Ormandy",2018-04-20,2018-04-20,2022-05-03,2022-05-03,https://patents.google.com/patent/US11323927B2/en,https://patentimages.storage.googleapis.com/b4/2e/fa/a9fa49855adade/US11323927-20220503-D00000.png
US-2020394566-A1,Systems and methods for lightweight cloud-based machine learning model service ,Open Text Sa Ulc,"Carles Bayés Martín, Marc Rodriguez Sierra, Sumitra Sahu, Jalendhar Baddam",2019-06-14,2019-06-14,2020-12-17,,https://patents.google.com/patent/US20200394566A1/en,https://patentimages.storage.googleapis.com/89/0c/b8/0cb00a7cfcea56/US20200394566A1-20201217-D00000.png
US-11677755-B1,System and method for using a plurality of egocentric and allocentric factors to identify a threat actor ,Secureauth Corporation,"Shahrokh Shahidzadeh, Frank Stefan Ulbrich",2020-08-31,2022-05-09,2023-06-13,2023-06-13,https://patents.google.com/patent/US11677755B1/en,https://patentimages.storage.googleapis.com/05/17/ff/eac82fa37fdb35/US11677755-20230613-D00000.png
US-11855994-B2,System and method for aggregating client data and cyber data for authentication determinations ,"Jpmorgan Chase Bank, N.A.","Jean-Francois LEGAULT, D. J. Knoedler, Neil GORIN, Kevin LISTON",2017-08-23,2021-05-21,2023-12-26,2023-12-26,https://patents.google.com/patent/US11855994B2/en,https://patentimages.storage.googleapis.com/2e/02/56/225342bc9d2ab7/US11855994-20231226-D00000.png
US-2017169173-A1,System for adapting healthcare data and performance management analytics ,"Cedar Gate Partners, LLC","David B. Snow, Jr., Christian Nickerson, Kenneth Brown, Joshua Davis, Aarti Karamchandani, Key Shin, Stephen Zander, Michael Pardes",2015-12-09,2016-12-09,2017-06-15,,https://patents.google.com/patent/US20170169173A1/en,https://patentimages.storage.googleapis.com/82/34/5c/d4cea986bdf9f2/US20170169173A1-20170615-D00000.png
US-10682086-B2,Delivery of a digital therapeutic method and system ,AebeZe Labs,Michael Phillips Moskowitz,2017-09-12,2018-04-20,2020-06-16,2020-06-16,https://patents.google.com/patent/US10682086B2/en,https://patentimages.storage.googleapis.com/d8/1e/69/22e812c333e44c/US10682086-20200616-D00000.png
US-2018011627-A1,"Meeting collaboration systems, devices, and methods ",Siracusano,"Louis Siracusano, Jr.",2014-06-16,2016-08-26,2018-01-11,,https://patents.google.com/patent/US20180011627A1/en,https://patentimages.storage.googleapis.com/23/34/52/63db767b2c8253/US20180011627A1-20180111-D00000.png
US-9210090-B1,Efficient storage and flexible retrieval of full packets captured from network traffic ,"Narus, Inc.","Mario Baldi, Syed M. Hussain, Yong Liao, Alok Tongaonkar, Antonio Nucci",2014-01-22,2014-01-22,2015-12-08,2015-12-08,https://patents.google.com/patent/US9210090B1/en,https://patentimages.storage.googleapis.com/40/8b/28/1693f1a23ca5f2/US09210090-20151208-D00000.png
US-9462017-B1,"Meeting collaboration systems, devices, and methods ","LHS Productions, Inc.","Louis Siracusano, Jr.",2014-06-16,2015-06-16,2016-10-04,2016-10-04,https://patents.google.com/patent/US9462017B1/en,https://patentimages.storage.googleapis.com/d8/d5/ef/3d2271931de119/US09462017-20161004-D00000.png
KR-101719278-B1,Deep learnig framework and image recognition method for content-based visual image recognition ,(주)한국플랫폼서비스기술,"이준혁, 제성관",2015-04-14,2015-04-14,2017-04-04,2017-04-04,https://patents.google.com/patent/KR101719278B1/en,https://patentimages.storage.googleapis.com/08/5e/a3/8a232327423b96/112015036189186-pat00001.png
EP-3040959-A1,Surgical simulator system and method ,Help Me See Inc.,"Mohan Thazhathu, James Ueltschi",2014-12-29,2015-12-31,2016-07-06,,https://patents.google.com/patent/EP3040959A1/en,https://patentimages.storage.googleapis.com/eb/ec/4d/9bfed572c6c268/imgf0001.png
US-2018046149-A1,Prediction in building automation ,"Siemens Industry, Inc.",Osman Ahmed,2015-03-11,2016-02-29,2018-02-15,,https://patents.google.com/patent/US20180046149A1/en,https://patentimages.storage.googleapis.com/2d/a6/27/8a7d8993f0e739/US20180046149A1-20180215-D00000.png
EP-3225045-B1,Method and apparatus for optimizing cell specific antenna configuration parameters ,"Huawei Technologies Co., Ltd.","Nandu Gopalakrishnan, Jin Yang, Yongxi Tan, James Mathew, Yan Xin",2014-12-09,2015-12-09,2020-08-05,2020-08-05,https://patents.google.com/patent/EP3225045B1/en,https://patentimages.storage.googleapis.com/fb/ff/a5/4d632d5e1165df/imgf0001.png
US-9373082-B2,Inquiry skills tutoring system ,Worcester Polytechnic Institute,"Janice D. Gobert, Ryan S. Baker, Michael A. Sao Pedro",2013-02-01,2014-01-29,2016-06-21,2016-06-21,https://patents.google.com/patent/US9373082B2/en,https://patentimages.storage.googleapis.com/55/d0/cc/e31221895dfcaf/US09373082-20160621-D00000.png
US-2009192941-A1,Digital marketplace for healthcare data ,"Lisa Fournier, Leiper Thomas W","Lisa Fournier, Thomas W. Leiper",2007-11-29,2008-12-01,2009-07-30,,https://patents.google.com/patent/US20090192941A1/en,https://patentimages.storage.googleapis.com/08/68/46/d2e1884209097e/US20090192941A1-20090730-D00000.png
US-2022005554-A1,Parameterized template for clinical research study systems ,"Nurocor, Inc.","Frederik Malfait, Brent Carlson, Tim Graser, Mark Watson, Robert Ross, Maurice Williams, LeFether Jackson, Tuan Dinh",2020-07-06,2021-07-06,2022-01-06,,https://patents.google.com/patent/US20220005554A1/en,https://patentimages.storage.googleapis.com/8a/07/bb/11f4f987a159ad/US20220005554A1-20220106-D00000.png
CN-110807060-A,Education big data analysis system ,北京普瑞华夏国际教育科技有限公司,何罡,2019-10-30,2019-10-30,2020-02-18,,https://patents.google.com/patent/CN110807060A/en,https://patentimages.storage.googleapis.com/ea/de/f5/0ff7c3bd93028b/HDA0002254671160000011.png
CN-113822316-B,Method and equipment for predicting student performance in interactive online question bank ,香港科技大学,"李昊天, 王勇, 危欢, 屈华民",2020-06-18,2021-06-18,2024-01-12,2024-01-12,https://patents.google.com/patent/CN113822316B/en,
JP-2018032276-A,Educational learning activity support system ,"株式会社内田洋行, Uchida Yoko Co Ltd","誠 島田, Makoto Shimada, 誠 島田, 智子 小森, Tomoko Komori, 智子 小森, 智憲 馬庭, Tomonori Maniwa, 智憲 馬庭, 茂雄 藤原, Shigeo Fujiwara, 茂雄 藤原, 誠太 森下, Seita Morishita, 誠太 森下, 正一 永井, Shoichi Nagai, 正一 永井, 孝 松田, Takashi Matsuda, 孝 松田, 健太郎 斎田, Kentaro Saida, 健太郎 斎田",2016-08-25,2016-08-25,2018-03-01,,https://patents.google.com/patent/JP2018032276A/en,https://patentimages.storage.googleapis.com/4c/81/5b/3587f44da72d92/2018032276-3.png
KR-102580095-B1,Scenario-based behavior specification and validation ,모셔널 에이디 엘엘씨,"티차콘 웅피롬산, 라드바우 뒨터 테벤스, 앤 콜린, 칼린 벨타, 에밀리오 프라졸리, 코스티안틴 슬러스키, 아미타이 빈-눈, 순-시엔 창",2020-12-11,2021-01-29,2023-09-19,2023-09-19,https://patents.google.com/patent/KR102580095B1/en,https://patentimages.storage.googleapis.com/9e/a2/aa/d0105ad3e1ee1e/112021012003632-pat00022.png
US-11500871-B1,Systems and methods for decoupling search processing language and machine learning analytics from storage of accessed data ,Splunk Inc.,"Chinmay Madhav Kulkarni, Lin Ma, Amir Malekpour, Mohan Rajagopalan, John C. Reed, Ram Sriharsha",2020-10-19,2020-10-19,2022-11-15,2022-11-15,https://patents.google.com/patent/US11500871B1/en,https://patentimages.storage.googleapis.com/f1/e1/85/a5c2a561f0d037/US11500871-20221115-D00000.png
US-11748422-B2,Digital content security and communications system using artificial intelligence (AI) based machine learning and predictive analysis ,ContactEngine Limited,"Andrew Mark AYERS, Giles BRYAN, Mark Kingsley Smith",2019-03-15,2019-03-15,2023-09-05,2023-09-05,https://patents.google.com/patent/US11748422B2/en,https://patentimages.storage.googleapis.com/19/73/2d/dfaedf6078f27f/US11748422-20230905-D00000.png
US-11699019-B2,Visual content optimization system using artificial intelligence (AI) based design generation and validation ,Accenture Global Solutions Limited,"Christian Souche, Edouard Mathon, Richard Vidal",2019-01-29,2020-10-07,2023-07-11,2023-07-11,https://patents.google.com/patent/US11699019B2/en,https://patentimages.storage.googleapis.com/a4/f5/c2/42bd2bb2f551d2/US11699019-20230711-D00000.png
US-11386468-B2,Dialogue monitoring and communications system using artificial intelligence (AI) based analytics ,Accenture Global Solutions Limited,"Felice TORTORIELLO, Paolo Canaletti",2019-02-19,2019-02-19,2022-07-12,2022-07-12,https://patents.google.com/patent/US11386468B2/en,https://patentimages.storage.googleapis.com/af/48/f3/0ef0ba215ec3ed/US11386468-20220712-D00000.png
US-2022043431-A1,Industrial automation control program utilization in analytics model engine ,"Rockwell Automation Technologies, Inc.","Bijan Sayyarrodsari, Subbian Govindaraj, David A Vasko, Juergen Weinhofer, Andrew James Ellis, Ka-Hing Lin, Michael Pantaleano, Sujeet Chand, Kyle A. Crum",2020-08-05,2020-08-05,2022-02-10,,https://patents.google.com/patent/US20220043431A1/en,https://patentimages.storage.googleapis.com/36/59/ae/a6c9432591000b/US20220043431A1-20220210-D00000.png
US-2018349793-A1,Employing machine learning and artificial intelligence to generate user profiles based on user interface interactions ,Bank Of America Corporation,"Cory Triolo, Steven Lucas, Patrick W. Higgins, Jeffrey J. Dansereau",2017-06-01,2017-06-01,2018-12-06,,https://patents.google.com/patent/US20180349793A1/en,https://patentimages.storage.googleapis.com/c8/9e/ef/cf922517f51b1f/US20180349793A1-20181206-D00000.png
US-11386986-B2,"System and method for identifying complex patients, forecasting outcomes and planning for post discharge care ",GE Precision Healthcare LLC,"Bex George Thomas, Andrew Day, Savanoor Pradeep Rai, Ryan Mancl, Hong Yang, Rulin Chen, Leonardo Dias",2019-09-30,2019-09-30,2022-07-12,2022-07-12,https://patents.google.com/patent/US11386986B2/en,https://patentimages.storage.googleapis.com/98/38/9b/3b6bdb19bb36b4/US11386986-20220712-D00000.png
KR-101752575-B1,System and method for visualizing big data in learning analytics ,"서울시립대학교 산학협력단, 한국교육학술정보원","이재호, 조용상, 최병기",2015-12-24,2015-12-24,2017-06-30,2017-06-30,https://patents.google.com/patent/KR101752575B1/en,https://patentimages.storage.googleapis.com/9e/57/b2/862041c4dd1c1c/112015126698013-pat00001.png
US-2020175528-A1,Predicting and preventing returns using transformative data-driven analytics and machine learning ,Accenture Global Solutions Limited,"Purvika BAZARI, Nilesh Kumar GUPTA, Jennifer Meyers, Benjamin D. VERLEY",2018-12-03,2019-12-03,2020-06-04,,https://patents.google.com/patent/US20200175528A1/en,https://patentimages.storage.googleapis.com/c7/88/7e/33e8d35cf09979/US20200175528A1-20200604-D00000.png
US-11700533-B2,"System, method, and apparatus for providing dynamic, prioritized spectrum management and utilization ","Digital Global Systems, Inc.",Armando Montalvo,2020-05-01,2022-12-21,2023-07-11,2023-07-11,https://patents.google.com/patent/US11700533B2/en,https://patentimages.storage.googleapis.com/e2/01/47/38db6f239e4127/US11700533-20230711-D00000.png
US-2023316408-A1,Artificial intelligence (ai)-enabled healthcare and dental claim attachment advisor ,"Change Healthcare Holdings, Llc","Sajid Khan, Prativa Behera",2022-03-31,2022-03-31,2023-10-05,,https://patents.google.com/patent/US20230316408A1/en,https://patentimages.storage.googleapis.com/42/a5/69/3a0922e06b8b59/US20230316408A1-20231005-D00000.png
